row ID,row m/z,row retention time,KMRB15070728_neg.mzXML Peak area,KMRB15070723_neg.mzXML Peak area,KMRB16032507_neg.mzXML Peak area,KMRB15070765_neg.mzXML Peak area,KMRB15062619_neg.mzXML Peak area,KMRB15090213_neg.mzXML Peak area,KMRB17070402_neg.mzXML Peak area,KMRB17080804_neg.mzXML Peak area,KMRB15081403_neg.mzXML Peak area,KMRB15031920_neg.mzXML Peak area,KMRB16011417_neg.mzXML Peak area,KMRB16011519_neg.mzXML Peak area,KMRB04050612_neg.mzXML Peak area,KMRB14110709_neg.mzXML Peak area,KMRB18111308_neg.mzXML Peak area,KMRB14091212_neg.mzXML Peak area,KMRB15052235_neg.mzXML Peak area,KMRB15070136_neg.mzXML Peak area,KMRB18042712_neg.mzXML Peak area,KMRB16061604_neg.mzXML Peak area,KMRB15021115_neg.mzXML Peak area,KMRB16051230_neg.mzXML Peak area,KMRB17091811_neg.mzXML Peak area,KMRB15032003_neg.mzXML Peak area,KMRB14101203_neg.mzXML Peak area,KMRB15063021_neg.mzXML Peak area,KMRB15052230_neg.mzXML Peak area,KMRB15071608_neg.mzXML Peak area,KMRB14082260_neg.mzXML Peak area,KMRB16071927_neg.mzXML Peak area,KMRB15080602_neg.mzXML Peak area,KMRB16011521_neg.mzXML Peak area,KMRB15090836_neg.mzXML Peak area,KMRB17061910_neg.mzXML Peak area,KMRB17083132_neg.mzXML Peak area,KMRB16041505_neg.mzXML Peak area,KMRB15102011_neg.mzXML Peak area,KMRB15061217_neg.mzXML Peak area,KMRB14070116_neg.mzXML Peak area,KMRB15090322_neg.mzXML Peak area
1,377.0846859,0.798561667,163978.7131,41193.5618,54354.09098,72249.20757,84162.87971,83804.46852,134107.8626,61179.81278,148946.3182,88262.85459,241221.0701,65600.11072,110888.5117,131990.6874,52600.82034,82800.85628,109057.9041,109877.8197,110652.4362,69785.04212,113326.6565,128749.1542,28885.23558,214361.9272,107411.699,36472.59967,126772.7054,76377.82338,17184.00361,209570.6868,273768.2353,399341.5538,53359.62333,69106.37965,642725.1996,28436.89743,66242.33377,192037.7028,117256.69,10872.246
2,191.0189498,1.0524375,636651.5886,267887.5311,646296.7757,696438.1321,164442.24,244311.2975,278822.1093,239077.3635,206456.73,143767.3959,669161.6895,57388.24522,397116.0902,677694.6008,1013944.607,110540.3001,315513.4089,435390.4286,6180.109812,317694.2288,569348.8882,452760.879,1817.07118,401460.0648,206865.5185,102342.5532,1005396.472,368492.0306,561531.1601,29120.10417,1212142.037,20884.3883,173405.5968,263928.5171,10166.69567,14734.44003,143471.3788,85658.18688,392733.011,571618.483
3,387.1134499,0.773587917,137815.7603,27742.08309,25884.14439,46184.16383,78829.15103,55468.22222,93317.43991,15722.51259,82764.77252,73687.85724,78519.94964,25283.24268,40628.19693,75300.21044,17559.24566,36863.0332,76324.79963,29945.44897,72861.85138,49425.16761,50268.6727,41991.9525,7325.153367,99691.78323,35967.39603,7931.270484,92003.36959,57243.25737,8014.466406,44270.45384,151157.6765,178082.8891,22828.29562,21026.06467,380013.1557,4404.766412,16719.46886,123431.0908,35310.63259,4527.888711
4,341.1078809,0.777152917,139070.9145,42369.25776,29092.1133,60970.10566,72419.18861,54899.91146,103263.8406,38270.71391,71686.8514,95297.71898,122476.7616,36121.33481,64949.73256,110726.5959,31026.07849,45397.09898,100466.4575,39066.18091,59500.51602,72183.41054,52463.50257,55428.19808,3177.117521,78228.88212,42115.32793,19811.06658,106530.2709,44162.12354,4725.695371,51184.60293,126856.5593,183452.4495,30422.24171,33958.20125,428475.1597,14105.87357,21485.31173,121621.5774,41645.91199,8974.608418
5,439.0814401,0.80832125,145832.3694,84899.62199,52756.44516,119584.9617,74861.49312,145639.7394,137694.5722,80546.83218,180600.6919,60877.9179,122440.5787,127500.7862,177276.976,48246.56206,81896.03725,74373.06302,129853.5321,52591.56996,17387.65424,112931.9524,48427.96359,23507.94845,40566.30309,152633.2692,73258.01709,50287.56073,111.02,52371.42374,33171.56346,4603.428777,64080.45596,145830.7827,75435.38044,67338.73658,148690.4877,5595.230463,88632.02657,28868.22706,117624.0156,13472.67624
6,216.8529578,18.05485,2473311.724,1806609.793,2048108.52,2120720.257,3017222.23,2634779.771,2489991.614,981235.6699,2165570.998,673674.9704,1428508.157,437593.8845,1879177.005,2047469.3,1932180.66,1262937.288,1614282.587,180629.9978,1343055.451,1173075.637,1133089.151,2173673.423,2840859.312,126216.0138,577422.4579,1000543.721,1559309.542,53059.86881,2739090.341,1333800.719,1103178.82,2083431.293,90323.48475,765258.7794,5702.198723,2534480.97,297057.8108,390.5864819,795675.5082,854396.4947
7,215.0318564,0.7976,59618.64904,110618.5853,107001.4549,98030.61273,123960.176,75235.09355,104158.0567,117504.7813,62358.41133,92226.77124,88353.74257,117282.3281,73266.33688,108181.6391,84643.42101,112260.6308,116660.9437,40539.6893,3075.221192,84766.85982,35614.76813,1579.479344,5110.44906,441.3107361,122082.2045,55280.64089,66417.01969,46946.36623,49898.66281,147.4102041,1056.583384,3448.825797,43960.52382,134048.2909,1900.724176,5518.534951,1808.782605,34131.64644,98835.84882,78092.63043
8,379.0822816,0.798561667,55991.5124,15995.73997,13776.96512,19221.06118,10860.59944,29198.15113,42772.93619,23619.16241,69690.01178,30142.79477,82596.31378,24435.18309,41320.02483,48104.92359,13719.7607,19996.81717,37597.28724,40705.52917,41679.94301,30753.43166,44543.92305,48031.5311,6153.068936,82046.952,27172.96191,9244.768254,44449.56354,26874.51977,8017.499273,66324.12387,117423.7845,148632.5748,19479.84636,14521.3796,225358.2229,10810.94281,8534.574465,69269.67263,44768.14614,4209.027256
9,181.0709,0.787186325,49334.98216,4719.630483,21450.69476,1207.30722,76.482,11776.00298,16752.16845,7906.166273,122922.3338,18658.55304,26436.85405,167.2354298,3411.349504,39.303,705.5852959,0,4435.930283,3713.351724,6878.645273,12948.1446,79910.48589,32957.91069,2982.793012,6819.005566,8598.809692,18967.66461,9736.558218,2390.171458,36849.96436,42820.33977,36187.49973,133.245,38403.60868,6406.593231,508.86,1870.554447,324.2192595,71190.66246,6667.692564,1544.472745
10,281.2479019,17.12726667,83590.97301,111655.506,72806.51375,126719.6455,80946.05977,112717.8568,68838.78875,55186.05161,454108.124,56916.05835,145840.2058,99812.8784,96342.35038,72200.03093,107705.7832,132531.1082,266934.8764,63564.01793,95969.65815,210314.6608,201003.3592,127255.8106,82943.36859,47962.3201,91407.31573,179719.292,134594.8397,47991.36462,236906.715,203852.3596,76368.79583,186256.237,169268.9214,57471.7149,34754.4211,120874.3903,375515.8517,814743.4804,104058.6479,182499.2618
