filename	ATTRIBUTE_Species	ATTRIBUTE_Genus
KMRB04050612_neg.mzXML	Trametes_hirsuta	Trametes
KMRB14070116_neg.mzXML	Tyromyces_chioneus	Tyromyces
KMRB14082260_neg.mzXML	Lenzites_betulina	Lenzites
KMRB14091212_neg.mzXML	Formes_fomentarius	Formes
KMRB14101203_neg.mzXML	Trametes_suaveolens	Trametes
KMRB14110709_neg.mzXML	Cerrena_aurantiopora	Cerrena
KMRB15021115_neg.mzXML	Trichaptum_abietinum	Trichaptum
KMRB15031920_neg.mzXML	Perenniporia_subacida	Perenniporia
KMRB15032003_neg.mzXML	Trametes_vesicolor	Trametes
KMRB15052230_neg.mzXML	Polyporus_tuberaster	Polyporus
KMRB15052235_neg.mzXML	Trametes_trogii	Trametes
KMRB15061217_neg.mzXML	Daedaleopsis_tricolor	Daedaleopsis
KMRB15062619_neg.mzXML	Cerrena_consors	Cerrena
KMRB15063021_neg.mzXML	Neolentinus_lepideus	Neolentinus
KMRB15070136_neg.mzXML	Coriolopsis_strumosa	Coriolopsis
KMRB15070723_neg.mzXML	Perenniporia_fraxinea	Perenniporia
KMRB15070728_neg.mzXML	Pycnoporus_coccineus	Pycnoporus
KMRB15070765_neg.mzXML	Trametes_orientalis	Trametes
KMRB15071608_neg.mzXML	Microporus_vernicipes	Microporus
KMRB15080602_neg.mzXML	Perenniporia_minutissima	Perenniporia
KMRB15081403_neg.mzXML	Daedaleopsis_confragosa	Daedaleopsis
KMRB15090213_neg.mzXML	Trametes_gibbosa	Trametes
KMRB15090322_neg.mzXML	Skeletocutis_nivea	Skeletocutis
KMRB15090836_neg.mzXML	Lopharia_cinerascens	Lopharia
KMRB15102011_neg.mzXML	Polyporus_brumalis	Polyporus
KMRB16011417_neg.mzXML	Datronia_mollis	Datronia
KMRB16011519_neg.mzXML	Trametopsis_cervina	Trametopsis
KMRB16011521_neg.mzXML	Cerrena_unicolor	Cerrena
KMRB16032507_neg.mzXML	Daedaleopsis_styracina	Daedaleopsis
KMRB16041505_neg.mzXML	Cryptoporus_volvatus	Cryptoporus
KMRB16051230_neg.mzXML	Trichaptum_biforme	Trichaptum
KMRB16061604_neg.mzXML	Polyporus_arcularius	Polyporus
KMRB16071927_neg.mzXML	Nigroporus_vinosus	Nigroporus
KMRB17061910_neg.mzXML	Cinereomyces_lindbladii	Cinereomyces
KMRB17070402_neg.mzXML	Neofavolus_alveolaris	Neofavolus
KMRB17080804_neg.mzXML	Microporus_affinis	Microporus
KMRB17083132_neg.mzXML	Phlebiopsis_gigantea	Phlebiopsis
KMRB17091811_neg.mzXML	Lenzites_styracina	Lenzites
KMRB18042712_neg.mzXML	Perenniporia_koreana	Perenniporia
KMRB18111308_neg.mzXML	Phlebiopsis_castanea	Phlebiopsis
