	KMRB15070728_neg.mzXML	KMRB15070723_neg.mzXML	KMRB16032507_neg.mzXML	KMRB15070765_neg.mzXML	KMRB15062619_neg.mzXML	KMRB15090213_neg.mzXML	KMRB17070402_neg.mzXML	KMRB17080804_neg.mzXML	KMRB15081403_neg.mzXML	KMRB15031920_neg.mzXML	KMRB16011417_neg.mzXML	KMRB16011519_neg.mzXML	KMRB04050612_neg.mzXML	KMRB14110709_neg.mzXML	KMRB18111308_neg.mzXML	KMRB14091212_neg.mzXML	KMRB15052235_neg.mzXML	KMRB15070136_neg.mzXML	KMRB18042712_neg.mzXML	KMRB16061604_neg.mzXML	KMRB15021115_neg.mzXML	KMRB16051230_neg.mzXML	KMRB17091811_neg.mzXML	KMRB15032003_neg.mzXML	KMRB14101203_neg.mzXML	KMRB15063021_neg.mzXML	KMRB15052230_neg.mzXML	KMRB15071608_neg.mzXML	KMRB14082260_neg.mzXML	KMRB16071927_neg.mzXML	KMRB15080602_neg.mzXML	KMRB16011521_neg.mzXML	KMRB15090836_neg.mzXML	KMRB17061910_neg.mzXML	KMRB17083132_neg.mzXML	KMRB16041505_neg.mzXML	KMRB15102011_neg.mzXML	KMRB15061217_neg.mzXML	KMRB14070116_neg.mzXML	KMRB15090322_neg.mzXML
KMRB15070728_neg.mzXML	0	0.153967260679171	0.130258054912131	0.233286513553657	0.186558887934839	0.220989988409951	0.183795570598926	0.10344215014061	0.165068247087669	0.153702333040913	0.225037657079638	0.236444117580902	0.273924578789002	0.249590604972973	0.295400686400828	0.269021564835312	0.329172674485611	0.321859838799791	0.290380902159872	0.252296387681913	0.271983820652697	0.319937480154656	0.305149024882442	0.281392599506707	0.390108536363032	0.256439410370157	0.267635418230852	0.289845480226969	0.378884726329983	0.342912700273591	0.374351390649957	0.418803010743647	0.333391147850802	0.344481704489053	0.282304655325667	0.446097928900773	0.519067896995651	0.504451969010903	0.48091494421632	0.538626791272553
KMRB15070723_neg.mzXML	0.153967260679171	0	0.13900831087093	0.26156695530182	0.207517271466343	0.248243333374857	0.212133091838415	0.131583425516969	0.200434586994337	0.179683466965961	0.250644376846909	0.233409354732076	0.27934738010334	0.23697312098848	0.275465181317195	0.284170514260501	0.34058335901341	0.305514064700769	0.281551177270305	0.207142660748897	0.254039408598223	0.322288851635598	0.330675459994236	0.265890413748294	0.360092244859261	0.243773865704491	0.269583325210857	0.245350738490419	0.374872112149394	0.358458578097864	0.373830303032563	0.426429991298172	0.31811135409327	0.271963495375943	0.254070227163322	0.449945071335071	0.512776408595219	0.500036047467585	0.432439153713509	0.523413522626479
KMRB16032507_neg.mzXML	0.130258054912131	0.13900831087093	0	0.188462495849912	0.14222176969323	0.195426495324833	0.12791787184021	0.136505478958485	0.118891073867454	0.223066489847797	0.175813728306986	0.182301250309994	0.218484807072656	0.189978682868052	0.217470484533313	0.221983838589437	0.277594029889136	0.261163486450065	0.26078564105112	0.239733593644246	0.235147367192706	0.28449361022598	0.269319249519964	0.247042848039744	0.322363463867934	0.224633827843117	0.223087403880123	0.244374329325261	0.349661603708596	0.314674837233671	0.335416277641673	0.372459132852238	0.263534343416175	0.28486550276215	0.227667577498039	0.417267887464094	0.472588742716694	0.461143761105415	0.432307751368915	0.487484755594126
KMRB15070765_neg.mzXML	0.233286513553657	0.26156695530182	0.188462495849912	0	0.158459760417495	0.170697841077111	0.151483114804176	0.271000262075338	0.146841986560291	0.311016220450893	0.199622452986934	0.120450572827431	0.136711813177624	0.15020444349803	0.186284076717821	0.121365426551312	0.19855030813619	0.226070985809728	0.210785277099978	0.231636625067781	0.17445649801711	0.213869718943591	0.215016808281162	0.194311829626521	0.259782186791541	0.201783646971141	0.158421720480129	0.199780667131061	0.290636600902663	0.256368305551107	0.296111196620216	0.304894167348526	0.206257808084195	0.28128768336533	0.201742328787284	0.365599593463376	0.403860260627404	0.374097784491972	0.40583477570743	0.434687610626182
KMRB15062619_neg.mzXML	0.186558887934839	0.207517271466343	0.14222176969323	0.158459760417495	0	0.169968828611888	0.0909397711614383	0.224547178624343	0.111783746465965	0.28118207587249	0.155718808528283	0.145925751294997	0.193712694363249	0.149568687497856	0.204743684673327	0.165098423253182	0.244794083706004	0.269490940664083	0.248810224162383	0.218638683829818	0.203657216836926	0.251690859899065	0.252836791319833	0.251124663954556	0.307728756041258	0.223070013401095	0.207045695129292	0.25643175448078	0.324144615442872	0.283484576283675	0.310389901630554	0.336937747750888	0.255463606676092	0.289647052063587	0.236796743209068	0.389316572241137	0.444276861393123	0.411038169395844	0.414586437277768	0.452857425316282
KMRB15090213_neg.mzXML	0.220989988409951	0.248243333374857	0.195426495324833	0.170697841077111	0.169968828611888	0	0.174930451582223	0.25740572471025	0.179978492903675	0.307371389062458	0.21174933310128	0.17472157518616	0.211536452807179	0.192735748677134	0.262487300132168	0.192418192926628	0.257979661379126	0.298571810883585	0.220547324549914	0.227543655006513	0.212160660615854	0.235806926933528	0.250352540179889	0.219095340085237	0.32251305289575	0.23996549534629	0.238771396129077	0.223918804006395	0.309352823699377	0.304100914999825	0.309520451162404	0.346731918414722	0.300852960986277	0.324588068203297	0.257962996201629	0.394595486703598	0.45936630983389	0.422340496652963	0.451980597997607	0.496096849101341
KMRB17070402_neg.mzXML	0.183795570598926	0.212133091838415	0.12791787184021	0.151483114804176	0.0909397711614383	0.174930451582223	0	0.219881868749575	0.105193806944758	0.267924655409943	0.160168087809939	0.156338006513923	0.184126051855561	0.147971664035386	0.204740245956812	0.16747131673698	0.243580458937186	0.271888797519137	0.261874102311632	0.236257479165679	0.233488361657361	0.276700017412689	0.273489147937341	0.258117816104111	0.308308087725154	0.232107830595536	0.196436130168756	0.260533415758915	0.35091744983416	0.301136900429199	0.336332923852966	0.354472884030539	0.237280630540582	0.303954653701881	0.244556954299625	0.409183610569627	0.45740202781387	0.425788979483575	0.430944432810396	0.469494642458996
KMRB17080804_neg.mzXML	0.10344215014061	0.131583425516969	0.136505478958485	0.271000262075338	0.224547178624343	0.25740572471025	0.219881868749575	0	0.199826788111318	0.144182569983267	0.254172167828313	0.252359069281689	0.299105834624689	0.265476611043601	0.310910095664543	0.312872199450997	0.371707908952545	0.338502439772105	0.291669451947137	0.255268942182849	0.270249877739613	0.336161155656271	0.330054688477237	0.271302591982719	0.38527579716806	0.241365083772745	0.287372955400143	0.290756096037586	0.391551877870738	0.372345785846191	0.405457883544306	0.447578791532773	0.352188356267269	0.310319937393114	0.292804975551279	0.464390133336307	0.53527602653656	0.525077584554897	0.470151088077576	0.545836069848487
KMRB15081403_neg.mzXML	0.165068247087669	0.200434586994337	0.118891073867454	0.146841986560291	0.111783746465965	0.179978492903675	0.105193806944758	0.199826788111318	0	0.259089584498076	0.146627610474617	0.146496196509906	0.199562200913889	0.167283673093988	0.214993150626897	0.175148222648104	0.248250284047207	0.25095900793419	0.239300740282382	0.215209088338648	0.205322402200598	0.256427086925412	0.233409454897788	0.228980847870413	0.319011889955227	0.202168986736371	0.19470834007698	0.246001271300022	0.326511958914649	0.287505010462208	0.316545135491637	0.358932100961713	0.254216935197048	0.292921983692239	0.236697550547644	0.386543547173016	0.443661012865867	0.419691774546365	0.433257417962393	0.474257412722267
KMRB15031920_neg.mzXML	0.153702333040913	0.179683466965961	0.223066489847797	0.311016220450893	0.28118207587249	0.307371389062458	0.267924655409943	0.144182569983267	0.259089584498076	0	0.317808573795606	0.299851203059989	0.341930337431898	0.311415091532535	0.360934232703504	0.359694560416125	0.41419073627707	0.370679795950872	0.330055566345381	0.293699458966882	0.321490369711849	0.386266021990714	0.377082102726088	0.300502537449455	0.430197616127867	0.289993404027686	0.32425578687246	0.312754119038097	0.446692829696958	0.413082926887027	0.440457127946285	0.486337706976023	0.378738966865518	0.348584506756212	0.319900704676851	0.506301706408945	0.565732474852532	0.553793478642351	0.511140214610494	0.591882746606928
