	KMRB15070728_neg.mzXML	KMRB15070723_neg.mzXML	KMRB16032507_neg.mzXML	KMRB15070765_neg.mzXML	KMRB15062619_neg.mzXML	KMRB15090213_neg.mzXML	KMRB17070402_neg.mzXML	KMRB17080804_neg.mzXML	KMRB15081403_neg.mzXML	KMRB15031920_neg.mzXML	KMRB16011417_neg.mzXML	KMRB16011519_neg.mzXML	KMRB04050612_neg.mzXML	KMRB14110709_neg.mzXML	KMRB18111308_neg.mzXML	KMRB14091212_neg.mzXML	KMRB15052235_neg.mzXML	KMRB15070136_neg.mzXML	KMRB18042712_neg.mzXML	KMRB16061604_neg.mzXML	KMRB15021115_neg.mzXML	KMRB16051230_neg.mzXML	KMRB17091811_neg.mzXML	KMRB15032003_neg.mzXML	KMRB14101203_neg.mzXML	KMRB15063021_neg.mzXML	KMRB15052230_neg.mzXML	KMRB15071608_neg.mzXML	KMRB14082260_neg.mzXML	KMRB16071927_neg.mzXML	KMRB15080602_neg.mzXML	KMRB16011521_neg.mzXML	KMRB15090836_neg.mzXML	KMRB17061910_neg.mzXML	KMRB17083132_neg.mzXML	KMRB16041505_neg.mzXML	KMRB15102011_neg.mzXML	KMRB15061217_neg.mzXML	KMRB14070116_neg.mzXML	KMRB15090322_neg.mzXML
KMRB15070728_neg.mzXML	0	0.410040907061716	0.11581720494222	0.132905616269523	0.283449777124553	0.162222583079186	0.277192534550035	0.196596321309699	0.282058121071817	0.529602330657989	0.141213656031653	0.225306351720334	0.25473720861455	0.269248597921733	0.352237889276627	0.150035560506458	0.576348072267528	0.656703643971658	0.247120533471712	0.28898164883953	0.34198527058571	0.454838818960149	0.0489194846312272	0.841138693514344	0.77904669107062	0.395268038251432	0.320788621683878	0.911414213425948	0.376329118081761	0.425415739775697	0.765606444974806	0.489545605667675	0.858153194033306	0.716559750960154	0.983574888178997	0.917500379021848	0.910836370698018	0.99642244376449	0.870366779374428	0.889966166519911
KMRB15070723_neg.mzXML	0.410040907061716	0	0.489467336060116	0.32557550596352	0.588947507650161	0.258458298712055	0.588679594965199	0.286121090782882	0.148100592995246	0.155535902532659	0.49595929074111	0.207108814667118	0.177537293033781	0.15904824827694	0.259999249257241	0.368151757896874	0.310848242114754	0.468336824703796	0.205577899608778	0.307570016150696	0.11021426857149	0.28244622062284	0.396281344132948	0.728694458570883	0.59429645677585	0.146445196776693	0.174349430169835	0.845524614743645	0.102661696232999	0.176954445591337	0.583171876574408	0.291990031424888	0.710173352137256	0.469703889341239	0.955339840889133	0.9432204413188	0.859343557468674	0.980295915482142	0.794987759311126	0.850885147746031
KMRB16032507_neg.mzXML	0.11581720494222	0.489467336060116	0	0.224566913722094	0.207714576428321	0.24896352391452	0.188667726660853	0.263796295330676	0.355191559674157	0.586694037104155	0.0834264210146346	0.336520710422486	0.345732115193745	0.350877084974664	0.425753109390765	0.239917712291886	0.61772100773214	0.701947593088508	0.337818962401405	0.388639142646653	0.427122236856396	0.49020331618072	0.139188794434575	0.854991310139866	0.793229847264905	0.476856507872045	0.374767014169168	0.914143443259918	0.460680410541304	0.494671368270573	0.775409331557629	0.536682205130434	0.877693422399292	0.76456594813719	0.978222652180323	0.918677851226153	0.917882436694807	0.996032301858848	0.881850264677113	0.902319088935298
KMRB15070765_neg.mzXML	0.132905616269523	0.32557550596352	0.224566913722094	0	0.376437612493963	0.0367506206897296	0.369312801432257	0.0706032414137557	0.173905300191022	0.454850410824972	0.254367434125271	0.107182661902244	0.1479480781895	0.159884503244304	0.252197867541377	0.0179892540620169	0.50667119029495	0.592063330423278	0.13716217421669	0.184923599411439	0.2418900783841	0.363271908582192	0.10600956719631	0.812724364426226	0.73767333641954	0.303404690518617	0.212284849179029	0.886462473890687	0.287497710921464	0.34018017760344	0.72156356954692	0.410503104346514	0.82363740118741	0.670873162950066	0.97983351536928	0.928700847699968	0.890720069435964	0.985638011484406	0.848440274229391	0.872329626341928
KMRB15062619_neg.mzXML	0.283449777124553	0.588947507650161	0.207714576428321	0.376437612493963	0	0.397182614931623	0.0239609442801879	0.419760683960528	0.483465920983171	0.682415253605092	0.130292481979563	0.468257295903608	0.473071154440246	0.479586146109925	0.54115624103744	0.390346016319542	0.694650578282103	0.772226610437758	0.467669113847142	0.504660312192949	0.542317078388423	0.593805329956189	0.303441238845618	0.89795897059698	0.848159786913562	0.580511680787721	0.506570547890347	0.941192362111025	0.560624706012119	0.596522632969012	0.830416820364104	0.626449182334149	0.911423208607853	0.818140292721399	0.992349617164803	0.933588182969248	0.936818947629802	0.996836993681589	0.908894525682337	0.922719901437669
KMRB15090213_neg.mzXML	0.162222583079186	0.258458298712055	0.24896352391452	0.0367506206897296	0.397182614931623	0	0.391724660745885	0.0711499430182368	0.145119267468686	0.398057390653373	0.283867566826361	0.115175880871883	0.0954123525273513	0.141514671185403	0.251856200424594	0.0606262189004969	0.463854476667647	0.581473877556779	0.128978181356414	0.18869895293063	0.243970144709181	0.360679764960178	0.127195505617619	0.8027551448468	0.705913192673093	0.288577223016855	0.216932148934244	0.879368296832365	0.264169334383111	0.318215661154761	0.693150288131119	0.394069967600694	0.808526148331579	0.634402577612604	0.975081509492325	0.926437549725227	0.888662555786877	0.985972191917022	0.840242876072105	0.872378759441013
KMRB17070402_neg.mzXML	0.277192534550035	0.588679594965199	0.188667726660853	0.369312801432257	0.0239609442801879	0.391724660745885	0	0.408775066156406	0.478473856128531	0.681391051826495	0.120794818145876	0.469244157946326	0.471832742626434	0.475092516574972	0.538117806749049	0.384535610660938	0.691080235658814	0.771961850359036	0.465208301670351	0.504096074107904	0.538441450482437	0.584340880670638	0.298057337963094	0.89567861468477	0.845411576677904	0.581645771823358	0.495951213345459	0.94093125776974	0.560367940770837	0.59613318786605	0.823835229358402	0.621802473831573	0.908505342374401	0.819399600867707	0.992428868611105	0.933871299854241	0.934850614209928	0.995081771274813	0.907182078954864	0.921680544240685
KMRB17080804_neg.mzXML	0.196596321309699	0.286121090782882	0.263796295330676	0.0706032414137557	0.419760683960528	0.0711499430182368	0.408775066156406	0	0.126109144455719	0.419961321493653	0.326149199598065	0.113138869743385	0.113931470734032	0.125363392068114	0.21699083985167	0.0873617272523738	0.473444312461727	0.59202170941167	0.122720936939418	0.174344920375932	0.217098050022595	0.315252128929724	0.160520617892093	0.780073007447403	0.699235308869941	0.296870636525183	0.158108285445958	0.875035364334559	0.260904686780823	0.319020445819648	0.687589640193281	0.379934346976897	0.818463443380729	0.657335233386631	0.950736139897196	0.933629037207504	0.886817840827258	0.995595432447695	0.834108331511528	0.867392854739575
KMRB15081403_neg.mzXML	0.282058121071817	0.148100592995246	0.355191559674157	0.173905300191022	0.483465920983171	0.145119267468686	0.478473856128531	0.126109144455719	0	0.303407037734478	0.384020970450916	0.0509049907024824	0.0989219714587051	0.0221938485885521	0.140650199371839	0.189827182081169	0.382739960115863	0.522740159207121	0.0565569131298397	0.179438735065301	0.127607693920239	0.263277443090288	0.254077861919973	0.758687631357531	0.654105458696569	0.179590109996617	0.0976766023069063	0.862048552855935	0.158731698904704	0.212729214259328	0.649145910245229	0.298687615226036	0.761193633930851	0.581581686420375	0.942686231207196	0.936082263144539	0.856503754746626	0.969768660217147	0.81366376703541	0.853205319937466
KMRB15031920_neg.mzXML	0.529602330657989	0.155535902532659	0.586694037104155	0.454850410824972	0.682415253605092	0.398057390653373	0.681391051826495	0.419961321493653	0.303407037734478	0	0.634260944375087	0.415350562929119	0.33015007598477	0.322923594038399	0.41495842838464	0.510250250775153	0.321074421581046	0.450895390072161	0.387744987208731	0.495134150953496	0.323552596936101	0.308329050441451	0.504524946088249	0.698130800282337	0.54710011890999	0.247433200182739	0.2974793725214	0.817192938895297	0.256147423718746	0.212075185853267	0.553855723344673	0.299594074215378	0.665061022429689	0.440548284068396	0.91667666602511	0.952583957536316	0.855367157838303	0.976707291377824	0.789118346314711	0.873822620616427
